month_of_action_date,career,score_reason,additional_comment,cleaned_text
2024-08-01,parent,Resource Quality,Such fabulous resources. Just not using as desired because life is too busy. Will keep in mind for future. Great site. Thank you.,such fabulous resources just not using as desired because life is too busy will keep in mind for future great site thank you
2024-08-01,ey,Price,I was charged $9 for monthly renewal on 8/10. The renewal should not have auto paid until 8/18 as stated.,i was charged 9 for monthly renewal on 810 the renewal should not have auto paid until 818 as stated
2024-08-01,ks3,Price,"most of the resources I found were more for elementary and I teach mostly high school. Also, I have such a small budget I can only afford a very few subscriptions and have to make do with very little. ",most of the resources i found were more for elementary and i teach mostly high school also i have such a small budget i can only afford a very few subscriptions and have to make do with very little
2024-08-01,US Grade 1,Price,It made me laugh that the bot couldn't understand that  because my prescription went from $10 to $530 on Medicare that I am canceling anything that I can.  Too funny!,it made me laugh that the bot couldnt understand that because my prescription went from 10 to 530 on medicare that i am canceling anything that i can too funny
2024-08-01,US Grade 5,Price,"I will be back! Our school had to cut our classroom budgets and personally, inflation is killing me :) Twinkl is amazing but I'm cutting all personal subscriptions for a bit <3... not sure how long it will take for the price of groceries and gas to ease up a bit.",i will be back our school had to cut our classroom budgets and personally inflation is killing me twinkl is amazing but im cutting all personal subscriptions for a bit 3 not sure how long it will take for the price of groceries and gas to ease up a bit
2024-08-01,slt,Price,"Please don't make it nearly impossible to find where and how to cancel my membership, that is extremely predatory. ",please dont make it nearly impossible to find where and how to cancel my membership that is extremely predatory
2024-08-01,US Grade 2,Price,"My children are going back to school and I was using this for summer learning. This is an excellent resource, though, and we'll be back next summer!",my children are going back to school and i was using this for summer learning this is an excellent resource though and well be back next summer
2024-08-01,ks4,Price,I thought that my subscription was done and everything and I cancel it and I guess not. I’ll try and get a refund for all the subscriptions that been going on.,i thought that my subscription was done and everything and i cancel it and i guess not i’ll try and get a refund for all the subscriptions that been going on
2024-08-01,parent,Price,"Love this site, very useful and helpful. Used it to supplement my son's learning during his summer break. Will be back next summer! Thanks a mil for being awesome! :) ",love this site very useful and helpful used it to supplement my sons learning during his summer break will be back next summer thanks a mil for being awesome
2024-08-01,ey,Resource Quality,I have not used the membership at all since I have had it but you took 9.00 from my account.  Can i get a refund please?,i have not used the membership at all since i have had it but you took 900 from my account can i get a refund please
2024-08-01,ey,Resource Quality,"Dual language printables with visuals for which are english-mandarin and preschool age appropriate. This is mostly geared for kindergarten and higher,",dual language printables with visuals for which are englishmandarin and preschool age appropriate this is mostly geared for kindergarten and higher
2024-08-01,US Kindergarten,Resource Quality,"Scholastic Teachables - I like most of their printables better. You cover more subjects, but Twinkl printables feel more like busywork in some ways vs. the printables at Scholastic. I also prefer Scholastic's artwork. The artwork at Twinkl is very vector-ish. ;) Also, a subscription is expensive for me since I'm not actually using the materials. I am scheduling them to my homeschool curriculum and then recommending for my customers to purchase a subscription. I am paying for the subscription so that I can properly preview some of the items before scheduling them. So, I am canceling for now but may come back later. :)",scholastic teachables i like most of their printables better you cover more subjects but twinkl printables feel more like busywork in some ways vs the printables at scholastic i also prefer scholastics artwork the artwork at twinkl is very vectorish also a subscription is expensive for me since im not actually using the materials i am scheduling them to my homeschool curriculum and then recommending for my customers to purchase a subscription i am paying for the subscription so that i can properly preview some of the items before scheduling them so i am canceling for now but may come back later
2024-08-01,sen,Resource Quality,The material often says it can be downloaded or used and then errors or there isn't enough material for the subjects I need.,the material often says it can be downloaded or used and then errors or there isnt enough material for the subjects i need
2024-08-01,US Grade 2,Resource Quality,I only needed the membership for a summer program. I will potentially get another membership again next summer.,i only needed the membership for a summer program i will potentially get another membership again next summer
2024-08-01,US Grade 4,Resource Quality,"I’m no longer homeschooling as my child was accepted to the school we were waiting on, so membership was no longer needed. Was not dissatisfied with services or products. Would recommend. ",i’m no longer homeschooling as my child was accepted to the school we were waiting on so membership was no longer needed was not dissatisfied with services or products would recommend
2024-08-01,ks1,Variety of Materials,Do you need more modifications and visuals for special ed students? You should use the board maker symbols for PowerPoint otherwise it’s not good for any special lead teachers.,do you need more modifications and visuals for special ed students you should use the board maker symbols for powerpoint otherwise it’s not good for any special lead teachers
2024-08-01,adult educator,Variety of Materials,"I loved using your materials, but I'm teaching a different level of adult classes this year and they are not something I can use for my current classes.  Thank you for the great materials!",i loved using your materials but im teaching a different level of adult classes this year and they are not something i can use for my current classes thank you for the great materials
2024-08-01,US Grade 8,Customer Service,"I didn’t like being drug through the app numerous times whe Trying to cancel my trial membership. If I get billed in October I’ll let your administration discuss it with my attorney. 

Sincerely,
Donald Lenoir ",i didn’t like being drug through the app numerous times whe trying to cancel my trial membership if i get billed in october i’ll let your administration discuss it with my attorney sincerely donald lenoir
2024-08-01,US Grade 3,Customer Service,I still haven’t gotten my twinkl planner. Not reliable. So please remove my subscriptions. Thank you.,i still haven’t gotten my twinkl planner not reliable so please remove my subscriptions thank you
2024-08-01,ey,Ease of Website,"It’s incredibly difficult to access the account after signing up. Not a single email was sent. Not even to my junk folders. Then, the amount of random questions that need to be answered prior to anyone helping is a bit excessive. Going to find something more streamlined and simpler. ",it’s incredibly difficult to access the account after signing up not a single email was sent not even to my junk folders then the amount of random questions that need to be answered prior to anyone helping is a bit excessive going to find something more streamlined and simpler
2024-08-01,ks1,Ease of Website,I cannot find the resources that I need. This does not fit what I am looking for. Please cancel any and all memberships under my name.,i cannot find the resources that i need this does not fit what i am looking for please cancel any and all memberships under my name
2024-08-01,US Grade 5,Ease of Website,"subject posters
handouts
It's just overwhelming. I search for something, then I get 50 packets with 5 things each and I haven't yet found anything useful. I'm sure it's there, it just takes hours to comb through.",subject posters handouts its just overwhelming i search for something then i get 50 packets with 5 things each and i havent yet found anything useful im sure its there it just takes hours to comb through
2024-08-01,ks4,Ease of Website,Career and Employability Skills resources for high school students and resources in the spanish language for new ELL students in that subject,career and employability skills resources for high school students and resources in the spanish language for new ell students in that subject
2024-08-01,US Grade 3,Variety of Materials,"A lot of things I looked for weren't available. I primarily teach non-denominational Bible study for 1st and 2nd graders and many materials were catholic in material. I also struggled to find specific things I wanted, like a map of plymouth colonies to fill in. Finally, as much as $90/year is a bargain, I don't think I'll use $90 worth of materials in the year. ",a lot of things i looked for werent available i primarily teach nondenominational bible study for 1st and 2nd graders and many materials were catholic in material i also struggled to find specific things i wanted like a map of plymouth colonies to fill in finally as much as 90year is a bargain i dont think ill use 90 worth of materials in the year
2024-08-01,esl,Variety of Materials,"I wish that the website allowed me to preview materials before downloading them. If there's a way to do that, it wasn't intuitive. In any case, I need to cancel the membership regardless because I can't afford it right now.",i wish that the website allowed me to preview materials before downloading them if theres a way to do that it wasnt intuitive in any case i need to cancel the membership regardless because i cant afford it right now
2024-08-01,US Kindergarten,Variety of Materials,would like to save my custom resources/saved resources on my account or suspend it. I return to work on Mid October but am strapped for cash so cannot pay now.,would like to save my custom resourcessaved resources on my account or suspend it i return to work on mid october but am strapped for cash so cannot pay now
2024-08-01,sen,Variety of Materials,"This was by far the best site for teaching. However, I have retired from the classroom and won't be needing it as much. ",this was by far the best site for teaching however i have retired from the classroom and wont be needing it as much
2024-08-01,home ed,Resource Quality,Resources are great. We are just experiencing a financial hardship and are cutting things we don't use on a regular bases,resources are great we are just experiencing a financial hardship and are cutting things we dont use on a regular bases
2024-08-01,US Grade 2,Price,"I didn't know this account was active and that I was being charged monthly. I haven't used this account the entire time, and am really upset since I just discovered this. I haven't used this email in over 3 years. ",i didnt know this account was active and that i was being charged monthly i havent used this account the entire time and am really upset since i just discovered this i havent used this email in over 3 years
2024-08-01,US Pre K,Price,I was asked about a planner and since the planner i was getting funds thing from me no thank you delete delete deleted,i was asked about a planner and since the planner i was getting funds thing from me no thank you delete delete deleted
2024-08-01,esl,Price,I know I tried to cancel this in June before the last day of school and thought I had.   I just saw on my cc bill that I had been charged two months.  I found it hard to navigate the website to cancel just now.,i know i tried to cancel this in june before the last day of school and thought i had i just saw on my cc bill that i had been charged two months i found it hard to navigate the website to cancel just now
2024-08-01,esl,Variety of Materials,"My school implemented a stricter curriculum that I must follow, do not have the time to incorporate outside resources.",my school implemented a stricter curriculum that i must follow do not have the time to incorporate outside resources
2024-08-01,ks5,Resource Quality,You do not make it easy to cancel.  I shouldn't have to go to the help page to do something as simple as cancelling your free trial.,you do not make it easy to cancel i shouldnt have to go to the help page to do something as simple as cancelling your free trial
2024-08-01,US Grade 1,Resource Quality,"Most of the good resources are zip files that you have to download instead of just having access to worksheets that can be printed you have to download zip files for them with tons of sheets in them. I don’t want to download 
Zip files everyday just to get one or two worksheets and I don’t want to download zip files everyday to my computer or my phone.",most of the good resources are zip files that you have to download instead of just having access to worksheets that can be printed you have to download zip files for them with tons of sheets in them i don’t want to download zip files everyday just to get one or two worksheets and i don’t want to download zip files everyday to my computer or my phone
2024-08-01,US Kindergarten,Resource Quality,"The resources are very basic, not adequate for correctly educating a child to my standards. Basic information like the parts of a fish cannot be found yet there is tons of information on other things that don't matter. No proper information on what Christmas actually is, and the list goes on and on. Information is also very skewed and biased. ",the resources are very basic not adequate for correctly educating a child to my standards basic information like the parts of a fish cannot be found yet there is tons of information on other things that dont matter no proper information on what christmas actually is and the list goes on and on information is also very skewed and biased
2024-08-01,parent,Resource Quality,"After downloading one of the social stories there was over 500 images that appeared in my recent album in my gallery, they were all from that download and were just random signs symbols and logos completely unrelated to the story. The website is also busy an confusing. There is way to much to concentrate on one item.",after downloading one of the social stories there was over 500 images that appeared in my recent album in my gallery they were all from that download and were just random signs symbols and logos completely unrelated to the story the website is also busy an confusing there is way to much to concentrate on one item
2024-08-01,US Grade 8,Resource Quality,"Not enough resources for what I teach (digital art, photography, animation, graphic design), if the resources exist they are very hard to find.",not enough resources for what i teach digital art photography animation graphic design if the resources exist they are very hard to find
2024-08-01,adult educator,Variety of Materials,"I AM CANCELLING MY SUBSCRIPTION BECAUSE I AM USING ANOTHER ACCOUNT. I AM STILL USING THE SERVICE, THOUGHT. THANKS!!!",i am cancelling my subscription because i am using another account i am still using the service thought thanks
2024-08-01,sen,Variety of Materials,"I signed up for the free trial to gain access to materials, and I was unable to access those materials even after signing up. I was continually prompted to sign up for the annual membership to access materials that were advertised under the free trial. ",i signed up for the free trial to gain access to materials and i was unable to access those materials even after signing up i was continually prompted to sign up for the annual membership to access materials that were advertised under the free trial
2024-08-01,US Grade 2,Variety of Materials,I saw a resource on google from your site. I joined and searched for it and nothing comes up. What a bummer to think something was advertised but not actually available.,i saw a resource on google from your site i joined and searched for it and nothing comes up what a bummer to think something was advertised but not actually available
2024-08-01,US Kindergarten,Variety of Materials,"Looking for English phonics game materials 
Plus interesting English class game that are lunached here ",looking for english phonics game materials plus interesting english class game that are lunached here
2024-08-01,US Grade 7,Variety of Materials,I’m moving from middle school math to high school math and it looks like your resources stop at 8th grade.,i’m moving from middle school math to high school math and it looks like your resources stop at 8th grade
2024-08-01,US Pre K,Variety of Materials,"After reading the copywriting policy, It is not what I'm looking for. I compose books, and your materials can't be used.",after reading the copywriting policy it is not what im looking for i compose books and your materials cant be used
2024-08-01,US Grade 8,Variety of Materials,"When our school can afford a membership, we will probably be back. Right now, we just don't have it. Thank you! ",when our school can afford a membership we will probably be back right now we just dont have it thank you
2024-08-01,ks2,Variety of Materials,"All about Mexico PPT says Mexico is in North America. Then, a reading about Cactus says it is in South America. ",all about mexico ppt says mexico is in north america then a reading about cactus says it is in south america
2024-08-01,US Grade 8,Variety of Materials,"Loved the site; however, I teach not only 8th grade but 12th grade... would love to see your site expand into the upper grades.",loved the site however i teach not only 8th grade but 12th grade would love to see your site expand into the upper grades
2024-08-01,US Kindergarten,Price,"I thought months ago that I had stopped paying for this subscription and that I had canceled it, but it turns out that I haven't.",i thought months ago that i had stopped paying for this subscription and that i had canceled it but it turns out that i havent
2024-08-01,US Kindergarten,Price,I had no idea I had a monthly membership. I’m not sure what I did to activate it but I definitely do not want this membership.,i had no idea i had a monthly membership i’m not sure what i did to activate it but i definitely do not want this membership
2024-08-01,Other,Price,"I'm a Girl Scout Leader & a 4H mom.  I really only need this stuff once a year, and it's just not worth paying for year round. ",im a girl scout leader a 4h mom i really only need this stuff once a year and its just not worth paying for year round
2024-08-01,ks4,Variety of Materials,I am no longer teaching the course I used this for. I tried to cancel in July and just realized you have still been billing me monthly,i am no longer teaching the course i used this for i tried to cancel in july and just realized you have still been billing me monthly
2024-08-01,US Grade 4,Variety of Materials,I never realized I had a subscription.  I used this site only once to get something and then never again.  I’ve been trying to figure out what this twinkle payment was for and just noticed the email this morning.,i never realized i had a subscription i used this site only once to get something and then never again i’ve been trying to figure out what this twinkle payment was for and just noticed the email this morning
2024-08-01,US Kindergarten,Variety of Materials,All of the SEL crap.  I really do not think most people understand how horrible it is.  They think its just understanding emotions but its not!  Common core was bad enough. The collective dumbing down of our children. Can no longer be a part of it.   Sorry.  Was the last straw for me.,all of the sel crap i really do not think most people understand how horrible it is they think its just understanding emotions but its not common core was bad enough the collective dumbing down of our children can no longer be a part of it sorry was the last straw for me
2024-08-01,esl,Variety of Materials,"Switched to higher ed, and the resources are more geared toward K-12.  Twinkl was helpful during my time with that age group though!",switched to higher ed and the resources are more geared toward k12 twinkl was helpful during my time with that age group though
2024-08-01,esl,Variety of Materials,My county/state doesn't allow the use of instructional materials outside the program we are using. I wouldn't be able to use any of your great materials.,my countystate doesnt allow the use of instructional materials outside the program we are using i wouldnt be able to use any of your great materials
2024-08-01,US Grade 2,Variety of Materials,I lost my teaching job so I need to cancel my $9.00/month subscription.  Please cancel my account and stop taking my monthly payment.  Thank you!  I loved your website.,i lost my teaching job so i need to cancel my 900month subscription please cancel my account and stop taking my monthly payment thank you i loved your website
2024-08-01,ks4,Variety of Materials,I purchased for use with grandkids and I am not using the membership like I thought I would. I also need to reduce a lot of my memberships.,i purchased for use with grandkids and i am not using the membership like i thought i would i also need to reduce a lot of my memberships
2024-08-01,US Grade 1,Variety of Materials,"What you guys provide is awesome, I was wondering if you have kind of a ""works cited"" on each activity. Who is making them and how reliable are some of the educational materials/actvities. ",what you guys provide is awesome i was wondering if you have kind of a works cited on each activity who is making them and how reliable are some of the educational materialsactvities
2024-08-01,ey,Variety of Materials,"You guys are amazing, and I will be back! I recommend you to everyone. I won't be able to work for a while, so I have to cut all my subscriptions until I am better. Thank you!",you guys are amazing and i will be back i recommend you to everyone i wont be able to work for a while so i have to cut all my subscriptions until i am better thank you
2024-08-01,US Grade 8,Customer Service,I already canceled and as I check I'm on the ultimate membership again????? Really??? Not cool. Bye Felicia,i already canceled and as i check im on the ultimate membership again really not cool bye felicia
2024-08-01,ey,Customer Service,I canceled with you guys a long time ago and you guys were still charging me! I would like reimbursement,i canceled with you guys a long time ago and you guys were still charging me i would like reimbursement
2024-08-01,US Grade 5,Customer Service,"I signed up for a trial membership.  It said I would be notified before I was charged.  I was not notified, but I was charted.",i signed up for a trial membership it said i would be notified before i was charged i was not notified but i was charted
2024-08-01,US Grade 5,Customer Service,you should never make the cancel button so hard to find. If I would have come back all chances are gone when you make that difficult. It shows you try to confuse or make things difficult on purpose for the customer. That is a trust break.,you should never make the cancel button so hard to find if i would have come back all chances are gone when you make that difficult it shows you try to confuse or make things difficult on purpose for the customer that is a trust break
