Topic,Words,Frequency,Timestamp
-1,"school waiting long, accept school waiting, bummer think advertise, waiting long need, long need dissatisfied",5,2024-07-31 20:19:40.800
0,"cancel free trial, cancel help, cancel free, cancel help page, try cancel",10,2024-07-31 20:19:40.800
1,"print download, gallery download, download, design exist hard, item digital",6,2024-07-31 20:19:40.800
2,"math school math, math look like, school math look, school math, math school",1,2024-07-31 20:19:40.800
3,"love site expand, site expand love, love site thank, thank love site, love site",3,2024-07-31 20:19:40.800
4,"look english phonic, dual printable englishmandarin, english phonic, read copywriting, english phonic game",4,2024-07-31 20:19:40.800
5,"allow instructional outside, countystate allow instructional, instructional outside able, school implement strict, outside able school",2,2024-07-31 20:19:40.800
6,"need summer potentially, need summer, potentially summer, summer potentially summer, summer need",2,2024-07-31 20:19:40.800
7,"justify nearly 90, price significantly increase, nearly 90 spend, 90 spend, like price significantly",1,2024-07-31 20:19:40.800
8,"special ed board, modification special ed, need modification special, board maker symbol, special lead",1,2024-07-31 20:19:40.800
9,"basic information, educate standard basic, basic information like, basic adequate, standard basic information",2,2024-07-31 20:19:40.800
10,"good site retire, site retire need, retire need place, site retire, retire need",1,2024-07-31 20:19:40.800
12,"guy provide awesome, make reliable educational, reliable educational materialsactvitie, provide awesome, guy provide",1,2024-07-31 20:19:40.800
-1,"afterschool need product, file available free, encourage caregiver, office need, elementary afterschool need",11,2024-08-31 14:24:00.000
0,"month cancel, cancel trial, charge month, month charge, free trial end",11,2024-08-31 14:24:00.000
1,"page print frustrating, cut page print, print frustrating print, page print, page open print",7,2024-08-31 14:24:00.000
2,"computer science math, math stuff apply, apply justify rigorous, math alot, stuff apply justify",3,2024-08-31 14:24:00.000
3,"hope utilize wonderful, utilize wonderful ill, love website able, hope utilize, utilize wonderful",2,2024-08-31 14:24:00.000
5,"introduce school place, school place provide, school site, introduce school, school place",2,2024-08-31 14:24:00.000
6,"summer month school, purchase daughter summer, summer need, summer need right, buy annual school",3,2024-08-31 14:24:00.000
7,"justify monthly cost, monthly cost start, monthly cost, expensive consider subscribe, justify monthly",2,2024-08-31 14:24:00.000
8,"special education interactive, internet special education, special ed, special education, elementary special education",2,2024-08-31 14:24:00.000
9,"science english flound, look various subject, math science english, science english, science specifically wind",2,2024-08-31 14:24:00.000
10,"place long site, long site, place long, need place long, long site think",1,2024-08-31 14:24:00.000
11,"experience change district, district level pay, change district level, change district, level pay",1,2024-08-31 14:24:00.000
13,"inmersion hispanic month, hispanic month, hispanic month nee, spanish inmersion, spanish inmersion hispanic",1,2024-08-31 14:24:00.000
