Month of Action Date,Career,Score Reason,Additional Comment
Aug-24,parent,Resource Quality,Such fabulous resources. Just not using as desired because life is too busy. Will keep in mind for future. Great site. Thank you.
Aug-24,ey,Price,I was charged $9 for monthly renewal on 8/10. The renewal should not have auto paid until 8/18 as stated.
Aug-24,ks3,Price,"most of the resources I found were more for elementary and I teach mostly high school. Also, I have such a small budget I can only afford a very few subscriptions and have to make do with very little. "
Aug-24,US Grade 1,Price,It made me laugh that the bot couldn't understand that  because my prescription went from $10 to $530 on Medicare that I am canceling anything that I can.  Too funny!
Aug-24,US Grade 5,Price,"I will be back! Our school had to cut our classroom budgets and personally, inflation is killing me :) Twinkl is amazing but I'm cutting all personal subscriptions for a bit <3... not sure how long it will take for the price of groceries and gas to ease up a bit."
Aug-24,slt,Price,"Please don't make it nearly impossible to find where and how to cancel my membership, that is extremely predatory. "
Aug-24,US Grade 2,Price,"My children are going back to school and I was using this for summer learning. This is an excellent resource, though, and we'll be back next summer!"
Aug-24,ks4,Price,I thought that my subscription was done and everything and I cancel it and I guess not. I’ll try and get a refund for all the subscriptions that been going on.
Aug-24,parent,Price,"Love this site, very useful and helpful. Used it to supplement my son's learning during his summer break. Will be back next summer! Thanks a mil for being awesome! :) "
Aug-24,ey,Resource Quality,I have not used the membership at all since I have had it but you took 9.00 from my account.  Can i get a refund please?
Aug-24,ey,Resource Quality,"Dual language printables with visuals for which are english-mandarin and preschool age appropriate. This is mostly geared for kindergarten and higher,"
Aug-24,US Kindergarten,Resource Quality,"Scholastic Teachables - I like most of their printables better. You cover more subjects, but Twinkl printables feel more like busywork in some ways vs. the printables at Scholastic. I also prefer Scholastic's artwork. The artwork at Twinkl is very vector-ish. ;) Also, a subscription is expensive for me since I'm not actually using the materials. I am scheduling them to my homeschool curriculum and then recommending for my customers to purchase a subscription. I am paying for the subscription so that I can properly preview some of the items before scheduling them. So, I am canceling for now but may come back later. :)"
Aug-24,sen,Resource Quality,The material often says it can be downloaded or used and then errors or there isn't enough material for the subjects I need.
Aug-24,US Grade 2,Resource Quality,I only needed the membership for a summer program. I will potentially get another membership again next summer.
Aug-24,US Grade 4,Resource Quality,"I’m no longer homeschooling as my child was accepted to the school we were waiting on, so membership was no longer needed. Was not dissatisfied with services or products. Would recommend. "
Aug-24,ks1,Variety of Materials,Do you need more modifications and visuals for special ed students? You should use the board maker symbols for PowerPoint otherwise it’s not good for any special lead teachers.
Aug-24,adult educator,Variety of Materials,"I loved using your materials, but I'm teaching a different level of adult classes this year and they are not something I can use for my current classes.  Thank you for the great materials!"
Aug-24,US Grade 8,Customer Service,"I didn’t like being drug through the app numerous times whe Trying to cancel my trial membership. If I get billed in October I’ll let your administration discuss it with my attorney. 

Sincerely,
Donald Lenoir "
Aug-24,US Grade 3,Customer Service,I still haven’t gotten my twinkl planner. Not reliable. So please remove my subscriptions. Thank you.
Aug-24,ey,Ease of Website,"It’s incredibly difficult to access the account after signing up. Not a single email was sent. Not even to my junk folders. Then, the amount of random questions that need to be answered prior to anyone helping is a bit excessive. Going to find something more streamlined and simpler. "
